Date,Open,High,Low,Close,Adj Close,Returns
30-01-2020,1479,1479.699951,1440,1443.75,1443.75,-0.02223375
31-01-2020,1453,1453.25,1407.199951,1411.650024,1411.650024,-0.018524438
03-02-2020,1369.900024,1399.949951,1363.050049,1385.5,1385.5,0.029520046
04-02-2020,1400,1432.5,1397.800049,1426.400024,1426.400024,0.015493533
05-02-2020,1434.900024,1452.800049,1430.300049,1448.5,1448.5,0.006420469
06-02-2020,1454.099976,1467,1440.099976,1457.800049,1457.800049,-0.016566075
07-02-2020,1451,1452.349976,1428.300049,1433.650024,1433.650024,0.001360131
10-02-2020,1428,1445.5,1410.449951,1435.599976,1435.599976,0.011946241
11-02-2020,1447.400024,1466.199951,1445.050049,1452.75,1452.75,0.012080571
12-02-2020,1456.150024,1474.849976,1455,1470.300049,1470.300049,0.002618496
13-02-2020,1477.75,1477.75,1462.599976,1474.150024,1474.150024,0.009123869
14-02-2020,1477.25,1501.449951,1453.099976,1487.599976,1487.599976,-0.006285276
17-02-2020,1489,1506.150024,1474.300049,1478.25,1478.25,-0.007339744
18-02-2020,1475.900024,1475.900024,1457.400024,1467.400024,1467.400024,0.024805796
19-02-2020,1479.349976,1506.449951,1475.099976,1503.800049,1503.800049,-0.011869994
20-02-2020,1497,1508,1483.800049,1485.949951,1485.949951,-0.027591777
24-02-2020,1469.75,1477,1439.550049,1444.949951,1444.949951,-0.012041872
25-02-2020,1451.400024,1451.400024,1425,1427.550049,1427.550049,
